"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"India","2011","Total","Both Sexes","23","Census - de facto - complete tabulation","Final figure, complete","2014","19154055","1"
"India","2011","Total","Both Sexes","24","Census - de facto - complete tabulation","Final figure, complete","2014","19880235","1"
"India","2011","Total","Both Sexes","25","Census - de facto - complete tabulation","Final figure, complete","2014","27768078","1"
"India","2011","Total","Both Sexes","25 - 29","Census - de facto - complete tabulation","Final figure, complete","2014","101413965","1"
"India","2011","Total","Both Sexes","26","Census - de facto - complete tabulation","Final figure, complete","2014","20076997","1"
"India","2011","Total","Both Sexes","27","Census - de facto - complete tabulation","Final figure, complete","2014","16709350","1"
"India","2011","Total","Both Sexes","28","Census - de facto - complete tabulation","Final figure, complete","2014","22127016","1"
"India","2011","Total","Both Sexes","29","Census - de facto - complete tabulation","Final figure, complete","2014","14732524","1"
"India","2011","Total","Both Sexes","30","Census - de facto - complete tabulation","Final figure, complete","2014","30399029","1"
"India","2011","Total","Both Sexes","30 - 34","Census - de facto - complete tabulation","Final figure, complete","2014","88594951","1"
"India","2011","Total","Both Sexes","31","Census - de facto - complete tabulation","Final figure, complete","2014","13823245","1"
"India","2011","Total","Both Sexes","32","Census - de facto - complete tabulation","Final figure, complete","2014","17613544","1"
"India","2011","Total","Both Sexes","33","Census - de facto - complete tabulation","Final figure, complete","2014","12764541","1"
"India","2011","Total","Both Sexes","34","Census - de facto - complete tabulation","Final figure, complete","2014","13994592","1"
"India","2011","Total","Both Sexes","35","Census - de facto - complete tabulation","Final figure, complete","2014","28422631","1"
"India","2011","Total","Both Sexes","35 - 39","Census - de facto - complete tabulation","Final figure, complete","2014","85140684","1"
"India","2011","Total","Both Sexes","36","Census - de facto - complete tabulation","Final figure, complete","2014","15827717","1"
"India","2011","Total","Both Sexes","37","Census - de facto - complete tabulation","Final figure, complete","2014","11692231","1"
"India","2011","Total","Both Sexes","38","Census - de facto - complete tabulation","Final figure, complete","2014","17471758","1"
"India","2011","Total","Both Sexes","39","Census - de facto - complete tabulation","Final figure, complete","2014","11726347","1"
"India","2011","Total","Both Sexes","40","Census - de facto - complete tabulation","Final figure, complete","2014","28528992","1"
"India","2011","Total","Both Sexes","40 - 44","Census - de facto - complete tabulation","Final figure, complete","2014","72438112","1"
"India","2011","Total","Both Sexes","41","Census - de facto - complete tabulation","Final figure, complete","2014","11567894","1"
"India","2011","Total","Both Sexes","42","Census - de facto - complete tabulation","Final figure, complete","2014","13380642","1"
"India","2011","Total","Both Sexes","43","Census - de facto - complete tabulation","Final figure, complete","2014","9334352","1"
"India","2011","Total","Both Sexes","44","Census - de facto - complete tabulation","Final figure, complete","2014","9626232","1"
"India","2011","Total","Both Sexes","45","Census - de facto - complete tabulation","Final figure, complete","2014","23872961","1"
"India","2011","Total","Both Sexes","45 - 49","Census - de facto - complete tabulation","Final figure, complete","2014","62318327","1"
"India","2011","Total","Both Sexes","46","Census - de facto - complete tabulation","Final figure, complete","2014","10992678","1"
"India","2011","Total","Both Sexes","47","Census - de facto - complete tabulation","Final figure, complete","2014","7951297","1"
"India","2011","Total","Both Sexes","48","Census - de facto - complete tabulation","Final figure, complete","2014","11649592","1"
"India","2011","Total","Both Sexes","49","Census - de facto - complete tabulation","Final figure, complete","2014","7851799","1"
"India","2011","Total","Both Sexes","50","Census - de facto - complete tabulation","Final figure, complete","2014","21462422","1"
"India","2011","Total","Both Sexes","50 - 54","Census - de facto - complete tabulation","Final figure, complete","2014","49069254","1"
"India","2011","Total","Both Sexes","51","Census - de facto - complete tabulation","Final figure, complete","2014","7885966","1"
"India","2011","Total","Both Sexes","52","Census - de facto - complete tabulation","Final figure, complete","2014","7735164","1"
"India","2011","Total","Both Sexes","53","Census - de facto - complete tabulation","Final figure, complete","2014","5590790","1"
"India","2011","Total","Both Sexes","54","Census - de facto - complete tabulation","Final figure, complete","2014","6394912","1"
"India","2011","Total","Both Sexes","55","Census - de facto - complete tabulation","Final figure, complete","2014","15607546","1"
"India","2011","Total","Both Sexes","55 - 59","Census - de facto - complete tabulation","Final figure, complete","2014","39146055","1"
"India","2011","Total","Both Sexes","56","Census - de facto - complete tabulation","Final figure, complete","2014","7071837","1"
"India","2011","Total","Both Sexes","57","Census - de facto - complete tabulation","Final figure, complete","2014","4599026","1"
"India","2011","Total","Both Sexes","58","Census - de facto - complete tabulation","Final figure, complete","2014","6718934","1"
"India","2011","Total","Both Sexes","59","Census - de facto - complete tabulation","Final figure, complete","2014","5148712","1"
"India","2011","Total","Both Sexes","60","Census - de facto - complete tabulation","Final figure, complete","2014","17810689","1"
"India","2011","Total","Both Sexes","60 - 64","Census - de facto - complete tabulation","Final figure, complete","2014","37663707","1"
"India","2011","Total","Both Sexes","61","Census - de facto - complete tabulation","Final figure, complete","2014","6026813","1"
"India","2011","Total","Both Sexes","62","Census - de facto - complete tabulation","Final figure, complete","2014","5745143","1"
"India","2011","Total","Both Sexes","63","Census - de facto - complete tabulation","Final figure, complete","2014","3994105","1"
"India","2011","Total","Both Sexes","64","Census - de facto - complete tabulation","Final figure, complete","2014","4086957","1"
"India","2011","Total","Both Sexes","65","Census - de facto - complete tabulation","Final figure, complete","2014","13022352","1"
"India","2011","Total","Both Sexes","65 - 69","Census - de facto - complete tabulation","Final figure, complete","2014","26454983","1"
"India","2011","Total","Both Sexes","66","Census - de facto - complete tabulation","Final figure, complete","2014","4511946","1"
"India","2011","Total","Both Sexes","67","Census - de facto - complete tabulation","Final figure, complete","2014","2605082","1"
"India","2011","Total","Both Sexes","68","Census - de facto - complete tabulation","Final figure, complete","2014","3548373","1"
"India","2011","Total","Both Sexes","69","Census - de facto - complete tabulation","Final figure, complete","2014","2767230","1"
"India","2011","Total","Both Sexes","70","Census - de facto - complete tabulation","Final figure, complete","2014","10986280","1"
"India","2011","Total","Both Sexes","70 - 74","Census - de facto - complete tabulation","Final figure, complete","2014","19208842","1"
"India","2011","Total","Both Sexes","71","Census - de facto - complete tabulation","Final figure, complete","2014","3084183","1"
"India","2011","Total","Both Sexes","72","Census - de facto - complete tabulation","Final figure, complete","2014","2250929","1"
"India","2011","Total","Both Sexes","73","Census - de facto - complete tabulation","Final figure, complete","2014","1366536","1"
"India","2011","Total","Both Sexes","74","Census - de facto - complete tabulation","Final figure, complete","2014","1520914","1"
"India","2011","Total","Both Sexes","75","Census - de facto - complete tabulation","Final figure, complete","2014","4772346","1"
"India","2011","Total","Both Sexes","75 - 79","Census - de facto - complete tabulation","Final figure, complete","2014","9232503","1"
"India","2011","Total","Both Sexes","76","Census - de facto - complete tabulation","Final figure, complete","2014","1667133","1"
"India","2011","Total","Both Sexes","77","Census - de facto - complete tabulation","Final figure, complete","2014","835048","1"
"India","2011","Total","Both Sexes","78","Census - de facto - complete tabulation","Final figure, complete","2014","1068415","1"
"India","2011","Total","Both Sexes","79","Census - de facto - complete tabulation","Final figure, complete","2014","889561","1"
"India","2011","Total","Both Sexes","80","Census - de facto - complete tabulation","Final figure, complete","2014","3784938","1"
"India","2011","Total","Both Sexes","80 - 84","Census - de facto - complete tabulation","Final figure, complete","2014","6220229","1"
"India","2011","Total","Both Sexes","81","Census - de facto - complete tabulation","Final figure, complete","2014","1027816","1"
"India","2011","Total","Both Sexes","82","Census - de facto - complete tabulation","Final figure, complete","2014","603793","1"
"India","2011","Total","Both Sexes","83","Census - de facto - complete tabulation","Final figure, complete","2014","380185","1"
"India","2011","Total","Both Sexes","84","Census - de facto - complete tabulation","Final figure, complete","2014","423497","1"
"India","2011","Total","Both Sexes","85","Census - de facto - complete tabulation","Final figure, complete","2014","1264798","1"
"India","2011","Total","Both Sexes","85 - 89","Census - de facto - complete tabulation","Final figure, complete","2014","2383167","1"
"India","2011","Total","Both Sexes","86","Census - de facto - complete tabulation","Final figure, complete","2014","447898","1"
"India","2011","Total","Both Sexes","87","Census - de facto - complete tabulation","Final figure, complete","2014","221411","1"
"India","2011","Total","Both Sexes","88","Census - de facto - complete tabulation","Final figure, complete","2014","235640","1"
"India","2011","Total","Both Sexes","89","Census - de facto - complete tabulation","Final figure, complete","2014","213420","1"
"India","2011","Total","Both Sexes","90","Census - de facto - complete tabulation","Final figure, complete","2014","833072","1"
"India","2011","Total","Both Sexes","90 - 94","Census - de facto - complete tabulation","Final figure, complete","2014","1446534","1"
"India","2011","Total","Both Sexes","91","Census - de facto - complete tabulation","Final figure, complete","2014","258297","1"
"India","2011","Total","Both Sexes","92","Census - de facto - complete tabulation","Final figure, complete","2014","153561","1"
"India","2011","Total","Both Sexes","93","Census - de facto - complete tabulation","Final figure, complete","2014","94630","1"
"India","2011","Total","Both Sexes","94","Census - de facto - complete tabulation","Final figure, complete","2014","106974","1"
"India","2011","Total","Both Sexes","95","Census - de facto - complete tabulation","Final figure, complete","2014","272534","1"
"India","2011","Total","Both Sexes","95 - 99","Census - de facto - complete tabulation","Final figure, complete","2014","633297","1"
"India","2011","Total","Both Sexes","96","Census - de facto - complete tabulation","Final figure, complete","2014","120268","1"
"India","2011","Total","Both Sexes","97","Census - de facto - complete tabulation","Final figure, complete","2014","71413","1"
"India","2011","Total","Both Sexes","98","Census - de facto - complete tabulation","Final figure, complete","2014","104511","1"
"India","2011","Total","Both Sexes","99","Census - de facto - complete tabulation","Final figure, complete","2014","64571","1"
"India","2011","Total","Both Sexes","100 +","Census - de facto - complete tabulation","Final figure, complete","2014","605778","1"
"India","2011","Total","Both Sexes","Unknown","Census - de facto - complete tabulation","Final figure, complete","2014","4489802","1"
"India","2011","Total","Male","Total","Census - de facto - complete tabulation","Final figure, complete","2014","623270258","1"
"India","2011","Total","Male","0","Census - de facto - complete tabulation","Final figure, complete","2014","10633298","1"
"India","2011","Total","Male","0 - 4","Census - de facto - complete tabulation","Final figure, complete","2014","58632074","1"
"India","2011","Total","Male","1","Census - de facto - complete tabulation","Final figure, complete","2014","11381468","1"
"India","2011","Total","Male","2","Census - de facto - complete tabulation","Final figure, complete","2014","11952853","1"
"India","2011","Total","Male","3","Census - de facto - complete tabulation","Final figure, complete","2014","12331431","1"
"India","2011","Total","Male","4","Census - de facto - complete tabulation","Final figure, complete","2014","12333024","1"
"India","2011","Total","Male","5","Census - de facto - complete tabulation","Final figure, complete","2014","13725480","1"
"India","2011","Total","Male","5 - 9","Census - de facto - complete tabulation","Final figure, complete","2014","66300466","1"
"India","2011","Total","Male","6","Census - de facto - complete tabulation","Final figure, complete","2014","13394700","1"
"India","2011","Total","Male","7","Census - de facto - complete tabulation","Final figure, complete","2014","12903364","1"
"India","2011","Total","Male","8","Census - de facto - complete tabulation","Final figure, complete","2014","14061937","1"
"India","2011","Total","Male","9","Census - de facto - complete tabulation","Final figure, complete","2014","12214985","1"
"India","2011","Total","Male","10","Census - de facto - complete tabulation","Final figure, complete","2014","16089436","1"
"India","2011","Total","Male","10 - 14","Census - de facto - complete tabulation","Final figure, complete","2014","69418835","1"
"India","2011","Total","Male","11","Census - de facto - complete tabulation","Final figure, complete","2014","12962604","1"
"India","2011","Total","Male","12","Census - de facto - complete tabulation","Final figure, complete","2014","14637892","1"
"India","2011","Total","Male","13","Census - de facto - complete tabulation","Final figure, complete","2014","12563775","1"
"India","2011","Total","Male","14","Census - de facto - complete tabulation","Final figure, complete","2014","13165128","1"
"India","2011","Total","Male","15","Census - de facto - complete tabulation","Final figure, complete","2014","13739746","1"
"India","2011","Total","Male","15 - 19","Census - de facto - complete tabulation","Final figure, complete","2014","63982396","1"
"India","2011","Total","Male","16","Census - de facto - complete tabulation","Final figure, complete","2014","13027935","1"
"India","2011","Total","Male","17","Census - de facto - complete tabulation","Final figure, complete","2014","11349449","1"
"India","2011","Total","Male","18","Census - de facto - complete tabulation","Final figure, complete","2014","15020851","1"
"India","2011","Total","Male","19","Census - de facto - complete tabulation","Final figure, complete","2014","10844415","1"
"India","2011","Total","Male","20","Census - de facto - complete tabulation","Final figure, complete","2014","14892165","1"
"India","2011","Total","Male","20 - 24","Census - de facto - complete tabulation","Final figure, complete","2014","57584693","1"
"India","2011","Total","Male","21","Census - de facto - complete tabulation","Final figure, complete","2014","10532278","1"
"India","2011","Total","Male","22","Census - de facto - complete tabulation","Final figure, complete","2014","12392976","1"
"India","2011","Total","Male","23","Census - de facto - complete tabulation","Final figure, complete","2014","9674189","1"
"India","2011","Total","Male","24","Census - de facto - complete tabulation","Final figure, complete","2014","10093085","1"
"India","2011","Total","Male","25","Census - de facto - complete tabulation","Final figure, complete","2014","14311524","1"
"India","2011","Total","Male","25 - 29","Census - de facto - complete tabulation","Final figure, complete","2014","51344208","1"
"India","2011","Total","Male","26","Census - de facto - complete tabulation","Final figure, complete","2014","10315030","1"
"India","2011","Total","Male","27","Census - de facto - complete tabulation","Final figure, complete","2014","8552032","1"
"India","2011","Total","Male","28","Census - de facto - complete tabulation","Final figure, complete","2014","10719926","1"
"India","2011","Total","Male","29","Census - de facto - complete tabulation","Final figure, complete","2014","7445696","1"
"India","2011","Total","Male","30","Census - de facto - complete tabulation","Final figure, complete","2014","15628996","1"
"India","2011","Total","Male","30 - 34","Census - de facto - complete tabulation","Final figure, complete","2014","44660674","1"
"India","2011","Total","Male","31","Census - de facto - complete tabulation","Final figure, complete","2014","7157502","1"
"India","2011","Total","Male","32","Census - de facto - complete tabulation","Final figure, complete","2014","8801105","1"
"India","2011","Total","Male","33","Census - de facto - complete tabulation","Final figure, complete","2014","6108879","1"
"India","2011","Total","Male","34","Census - de facto - complete tabulation","Final figure, complete","2014","6964192","1"
"India","2011","Total","Male","35","Census - de facto - complete tabulation","Final figure, complete","2014","15036666","1"
"India","2011","Total","Male","35 - 39","Census - de facto - complete tabulation","Final figure, complete","2014","42919381","1"
"India","2011","Total","Male","36","Census - de facto - complete tabulation","Final figure, complete","2014","8067568","1"
"India","2011","Total","Male","37","Census - de facto - complete tabulation","Final figure, complete","2014","5784879","1"
"India","2011","Total","Male","38","Census - de facto - complete tabulation","Final figure, complete","2014","8090401","1"
"India","2011","Total","Male","39","Census - de facto - complete tabulation","Final figure, complete","2014","5939867","1"
"India","2011","Total","Male","40","Census - de facto - complete tabulation","Final figure, complete","2014","15173411","1"
"India","2011","Total","Male","40 - 44","Census - de facto - complete tabulation","Final figure, complete","2014","37545386","1"
"India","2011","Total","Male","41","Census - de facto - complete tabulation","Final figure, complete","2014","6172297","1"
"India","2011","Total","Male","42","Census - de facto - complete tabulation","Final figure, complete","2014","6856826","1"
"India","2011","Total","Male","43","Census - de facto - complete tabulation","Final figure, complete","2014","4468914","1"
"India","2011","Total","Male","44","Census - de facto - complete tabulation","Final figure, complete","2014","4873938","1"
"India","2011","Total","Male","45","Census - de facto - complete tabulation","Final figure, complete","2014","12685175","1"
"India","2011","Total","Male","45 - 49","Census - de facto - complete tabulation","Final figure, complete","2014","32138114","1"
"India","2011","Total","Male","46","Census - de facto - complete tabulation","Final figure, complete","2014","5735540","1"
"India","2011","Total","Male","47","Census - de facto - complete tabulation","Final figure, complete","2014","4043122","1"
"India","2011","Total","Male","48","Census - de facto - complete tabulation","Final figure, complete","2014","5568554","1"
"India","2011","Total","Male","49","Census - de facto - complete tabulation","Final figure, complete","2014","4105723","1"
"India","2011","Total","Male","50","Census - de facto - complete tabulation","Final figure, complete","2014","11379329","1"
"India","2011","Total","Male","50 - 54","Census - de facto - complete tabulation","Final figure, complete","2014","25843266","1"
"India","2011","Total","Male","51","Census - de facto - complete tabulation","Final figure, complete","2014","4323584","1"
"India","2011","Total","Male","52","Census - de facto - complete tabulation","Final figure, complete","2014","4068700","1"
"India","2011","Total","Male","53","Census - de facto - complete tabulation","Final figure, complete","2014","2808043","1"
"India","2011","Total","Male","54","Census - de facto - complete tabulation","Final figure, complete","2014","3263610","1"
"India","2011","Total","Male","55","Census - de facto - complete tabulation","Final figure, complete","2014","7769352","1"
"India","2011","Total","Male","55 - 59","Census - de facto - complete tabulation","Final figure, complete","2014","19456012","1"
"India","2011","Total","Male","56","Census - de facto - complete tabulation","Final figure, complete","2014","3666804","1"
"India","2011","Total","Male","57","Census - de facto - complete tabulation","Final figure, complete","2014","2339391","1"
"India","2011","Total","Male","58","Census - de facto - complete tabulation","Final figure, complete","2014","3072508","1"
"India","2011","Total","Male","59","Census - de facto - complete tabulation","Final figure, complete","2014","2607957","1"
"India","2011","Total","Male","60","Census - de facto - complete tabulation","Final figure, complete","2014","8677046","1"
"India","2011","Total","Male","60 - 64","Census - de facto - complete tabulation","Final figure, complete","2014","18701749","1"
"India","2011","Total","Male","61","Census - de facto - complete tabulation","Final figure, complete","2014","3095448","1"
"India","2011","Total","Male","62","Census - de facto - complete tabulation","Final figure, complete","2014","2892015","1"
"India","2011","Total","Male","63","Census - de facto - complete tabulation","Final figure, complete","2014","1977207","1"
"India","2011","Total","Male","64","Census - de facto - complete tabulation","Final figure, complete","2014","2060033","1"
"India","2011","Total","Male","65","Census - de facto - complete tabulation","Final figure, complete","2014","6275854","1"
"India","2011","Total","Male","65 - 69","Census - de facto - complete tabulation","Final figure, complete","2014","12944326","1"
"India","2011","Total","Male","66","Census - de facto - complete tabulation","Final figure, complete","2014","2278670","1"
"India","2011","Total","Male","67","Census - de facto - complete tabulation","Final figure, complete","2014","1353711","1"
"India","2011","Total","Male","68","Census - de facto - complete tabulation","Final figure, complete","2014","1640034","1"
"India","2011","Total","Male","69","Census - de facto - complete tabulation","Final figure, complete","2014","1396057","1"
"India","2011","Total","Male","70","Census - de facto - complete tabulation","Final figure, complete","2014","5393714","1"
"India","2011","Total","Male","70 - 74","Census - de facto - complete tabulation","Final figure, complete","2014","9651499","1"
"India","2011","Total","Male","71","Census - de facto - complete tabulation","Final figure, complete","2014","1584873","1"
"India","2011","Total","Male","72","Census - de facto - complete tabulation","Final figure, complete","2014","1176727","1"
"India","2011","Total","Male","73","Census - de facto - complete tabulation","Final figure, complete","2014","708381","1"
"India","2011","Total","Male","74","Census - de facto - complete tabulation","Final figure, complete","2014","787804","1"
"India","2011","Total","Male","75","Census - de facto - complete tabulation","Final figure, complete","2014","2278704","1"
"India","2011","Total","Male","75 - 79","Census - de facto - complete tabulation","Final figure, complete","2014","4490603","1"
"India","2011","Total","Male","76","Census - de facto - complete tabulation","Final figure, complete","2014","832251","1"
"India","2011","Total","Male","77","Census - de facto - complete tabulation","Final figure, complete","2014","438394","1"
"India","2011","Total","Male","78","Census - de facto - complete tabulation","Final figure, complete","2014","506957","1"
"India","2011","Total","Male","79","Census - de facto - complete tabulation","Final figure, complete","2014","434297","1"
"India","2011","Total","Male","80","Census - de facto - complete tabulation","Final figure, complete","2014","1725200","1"
"India","2011","Total","Male","80 - 84","Census - de facto - complete tabulation","Final figure, complete","2014","2927040","1"
"India","2011","Total","Male","81","Census - de facto - complete tabulation","Final figure, complete","2014","491522","1"
"India","2011","Total","Male","82","Census - de facto - complete tabulation","Final figure, complete","2014","306378","1"
"India","2011","Total","Male","83","Census - de facto - complete tabulation","Final figure, complete","2014","192946","1"
"India","2011","Total","Male","84","Census - de facto - complete tabulation","Final figure, complete","2014","210994","1"
"India","2011","Total","Male","85","Census - de facto - complete tabulation","Final figure, complete","2014","580527","1"
"India","2011","Total","Male","85 - 89","Census - de facto - complete tabulation","Final figure, complete","2014","1120106","1"
"India","2011","Total","Male","86","Census - de facto - complete tabulation","Final figure, complete","2014","215850","1"
"India","2011","Total","Male","87","Census - de facto - complete tabulation","Final figure, complete","2014","112348","1"
"India","2011","Total","Male","88","Census - de facto - complete tabulation","Final figure, complete","2014","112374","1"
"India","2011","Total","Male","89","Census - de facto - complete tabulation","Final figure, complete","2014","99007","1"
"India","2011","Total","Male","90","Census - de facto - complete tabulation","Final figure, complete","2014","360237","1"
"India","2011","Total","Male","90 - 94","Census - de facto - complete tabulation","Final figure, complete","2014","652465","1"
"India","2011","Total","Male","91","Census - de facto - complete tabulation","Final figure, complete","2014","118606","1"
"India","2011","Total","Male","92","Census - de facto - complete tabulation","Final figure, complete","2014","75430","1"
"India","2011","Total","Male","93","Census - de facto - complete tabulation","Final figure, complete","2014","46220","1"
"India","2011","Total","Male","94","Census - de facto - complete tabulation","Final figure, complete","2014","51972","1"
"India","2011","Total","Male","95","Census - de facto - complete tabulation","Final figure, complete","2014","124950","1"
"India","2011","Total","Male","95 - 99","Census - de facto - complete tabulation","Final figure, complete","2014","294759","1"
"India","2011","Total","Male","96","Census - de facto - complete tabulation","Final figure, complete","2014","57894","1"
"India","2011","Total","Male","97","Census - de facto - complete tabulation","Final figure, complete","2014","35238","1"
"India","2011","Total","Male","98","Census - de facto - complete tabulation","Final figure, complete","2014","48393","1"
"India","2011","Total","Male","99","Census - de facto - complete tabulation","Final figure, complete","2014","28284","1"
"India","2011","Total","Male","100 +","Census - de facto - complete tabulation","Final figure, complete","2014","289325","1"
"India","2011","Total","Male","Unknown","Census - de facto - complete tabulation","Final figure, complete","2014","2372881","1"
"India","2011","Total","Female","Total","Census - de facto - complete tabulation","Final figure, complete","2014","587584719","1"
"India","2011","Total","Female","0","Census - de facto - complete tabulation","Final figure, complete","2014","9677936","1"
"India","2011","Total","Female","0 - 4","Census - de facto - complete tabulation","Final figure, complete","2014","54174704","1"
"India","2011","Total","Female","1","Census - de facto - complete tabulation","Final figure, complete","2014","10373729","1"
"India","2011","Total","Female","2","Census - de facto - complete tabulation","Final figure, complete","2014","11103415","1"
"India","2011","Total","Female","3","Census - de facto - complete tabulation","Final figure, complete","2014","11642610","1"
"India","2011","Total","Female","4","Census - de facto - complete tabulation","Final figure, complete","2014","11377014","1"
"India","2011","Total","Female","5","Census - de facto - complete tabulation","Final figure, complete","2014","12328750","1"
"India","2011","Total","Female","5 - 9","Census - de facto - complete tabulation","Final figure, complete","2014","60627660","1"
"India","2011","Total","Female","6","Census - de facto - complete tabulation","Final figure, complete","2014","12259545","1"
"India","2011","Total","Female","7","Census - de facto - complete tabulation","Final figure, complete","2014","11923276","1"
"India","2011","Total","Female","8","Census - de facto - complete tabulation","Final figure, complete","2014","12906436","1"
"India","2011","Total","Female","9","Census - de facto - complete tabulation","Final figure, complete","2014","11209653","1"
"India","2011","Total","Female","10","Census - de facto - complete tabulation","Final figure, complete","2014","14462671","1"
"India","2011","Total","Female","10 - 14","Census - de facto - complete tabulation","Final figure, complete","2014","63290377","1"
"India","2011","Total","Female","11","Census - de facto - complete tabulation","Final figure, complete","2014","11778342","1"
"India","2011","Total","Female","12","Census - de facto - complete tabulation","Final figure, complete","2014","13239415","1"
"India","2011","Total","Female","13","Census - de facto - complete tabulation","Final figure, complete","2014","11716908","1"
"India","2011","Total","Female","14","Census - de facto - complete tabulation","Final figure, complete","2014","12093041","1"
"India","2011","Total","Female","15","Census - de facto - complete tabulation","Final figure, complete","2014","12159708","1"
"India","2011","Total","Female","15 - 19","Census - de facto - complete tabulation","Final figure, complete","2014","56544053","1"
"India","2011","Total","Female","16","Census - de facto - complete tabulation","Final figure, complete","2014","11564358","1"
"India","2011","Total","Female","17","Census - de facto - complete tabulation","Final figure, complete","2014","9868018","1"
"India","2011","Total","Female","18","Census - de facto - complete tabulation","Final figure, complete","2014","12937296","1"
"India","2011","Total","Female","19","Census - de facto - complete tabulation","Final figure, complete","2014","10014673","1"
"India","2011","Total","Female","20","Census - de facto - complete tabulation","Final figure, complete","2014","13990570","1"
"India","2011","Total","Female","20 - 24","Census - de facto - complete tabulation","Final figure, complete","2014","53839529","1"
"India","2011","Total","Female","21","Census - de facto - complete tabulation","Final figure, complete","2014","9446694","1"
"India","2011","Total","Female","22","Census - de facto - complete tabulation","Final figure, complete","2014","11135249","1"
"India","2011","Total","Female","23","Census - de facto - complete tabulation","Final figure, complete","2014","9479866","1"
"India","2011","Total","Female","24","Census - de facto - complete tabulation","Final figure, complete","2014","9787150","1"
"India","2011","Total","Female","25","Census - de facto - complete tabulation","Final figure, complete","2014","13456554","1"
"India","2011","Total","Female","25 - 29","Census - de facto - complete tabulation","Final figure, complete","2014","50069757","1"
"India","2011","Total","Female","26","Census - de facto - complete tabulation","Final figure, complete","2014","9761967","1"
"India","2011","Total","Female","27","Census - de facto - complete tabulation","Final figure, complete","2014","8157318","1"
"India","2011","Total","Female","28","Census - de facto - complete tabulation","Final figure, complete","2014","11407090","1"
"India","2011","Total","Female","29","Census - de facto - complete tabulation","Final figure, complete","2014","7286828","1"
"India","2011","Total","Female","30","Census - de facto - complete tabulation","Final figure, complete","2014","14770033","1"
"India","2011","Total","Female","30 - 34","Census - de facto - complete tabulation","Final figure, complete","2014","43934277","1"
"India","2011","Total","Female","31","Census - de facto - complete tabulation","Final figure, complete","2014","6665743","1"
"India","2011","Total","Female","32","Census - de facto - complete tabulation","Final figure, complete","2014","8812439","1"
"India","2011","Total","Female","33","Census - de facto - complete tabulation","Final figure, complete","2014","6655662","1"
